x,y,,current_height,timestamp
99.99996948,-212.1999817,-30.50012207,2,1758844006
100,-232.519989,-30.50018311,3,1758844008
99.99996948,-253.0800476,-30.50012207,2,1758844010
100,-273.480072,-30.50018311,3,1758844012
99.99996948,-293.8800354,-30.50018311,3,1758844014
100.0000305,-314.3599854,-30.50006104,3,1758844016
99.99996948,-335,-30.50006104,3,1758844018
100,-355.3200378,-30.50006104,3,1758844020
100,-375.7200012,-30.50012207,2,1758844022
99.99993896,-396.2800903,-30.50012207,3,1758844024
100,-416.6800537,-30.50012207,2,1758844026
99.99990845,-437.0800781,-30.50012207,2,1758844029
99.99996948,-457.480072,-30.50012207,2,1758844031
100,-478.1199646,-30.50012207,2,1758844033
100,-497.7179565,-30.50012207,2,1758844035
97.56176758,-499.999939,-30.50006104,2,1758844037
77.72000122,-500.0000305,-30.50012207,2,1758844039
57.00003052,-499.999939,-30.50012207,2,1758844041
36.52001953,-500.000061,-30.50006104,3,1758844043
15.95999146,-500.000061,-30.50006104,3,1758844045
-4.520050049,-500.0001221,-30.50006104,3,1758844047
-24.92004395,-499.9999695,-30.50006104,4,1758844049
-45.24005127,-500.0000916,-30.50006104,4,1758844051
-59.95031738,-500.000061,-30.50006104,4,1758844053
-60,-491.2400513,-30.50006104,4,1758844055
-59.99996948,-470.6000671,-30.50006104,4,1758844057
-60.00003052,-450.1200867,-30.50006104,4,1758844059
-60.00006104,-429.5601196,-30.50012207,4,1758844061
-60.00003052,-409.0000916,-30.5,4,1758844063
-60,-388.3600159,-30.50012207,5,1758844065
-60.00003052,-367.8799744,-30.50012207,5,1758844067
-60.00003052,-347.3999939,-30.50006104,4,1758844069
-60.00003052,-326.8399963,-30.50006104,4,1758844072
-59.99996948,-306.2800293,-30.5,5,1758844074
-60,-285.8800049,-30.50012207,5,1758844076
-60,-265.3200073,-30.50012207,5,1758844078
-60.00003052,-244.6800385,-30.50012207,5,1758844080
-60.00003052,-224.2000427,-30.50006104,5,1758844082
-60,-203.8000641,-30.50006104,5,1758844084
-60.00003052,-183.4000244,-30.50012207,5,1758844086
-60.00006104,-162.7600403,-30.50006104,5,1758844088
-60,-142.2000275,-30.50006104,5,1758844090
-59.99996948,-121.7200394,-30.50012207,5,1758844092
-59.99996948,-101.3199997,-30.50006104,5,1758844094
-60.00006104,-80.84002686,-30.50006104,5,1758844096
-60,-60.19999313,-30.50006104,5,1758844098
-59.99996948,-39.71999359,-30.50006104,6,1758844100
-60,-19.16000175,-30.50012207,5,1758844102
-60,-0.80210638,-30.50012207,5,1758844104
