Timestamp,Captured Image,Processed Image,Width (mm),Height (mm)
20250521-123347,c_20250521-123347.jpg,p_20250521-123347.jpg,46.38,25.29
20250521-123358,c_20250521-123358.jpg,p_20250521-123358.jpg,46.01,23.33
20250521-123410,c_20250521-123410.jpg,p_20250521-123410.jpg,23.55,21.23
20250521-123421,c_20250521-123421.jpg,p_20250521-123421.jpg,17.68,10.00
20250521-123505,c_20250521-123505.jpg,p_20250521-123505.jpg,3.77,1.88
20250521-123519,c_20250521-123519.jpg,p_20250521-123519.jpg,2.61,1.88
20250521-123853,c_20250521-123853.jpg,p_20250521-123853.jpg,21.81,34.78
20250521-123904,c_20250521-123904.jpg,p_20250521-123904.jpg,30.51,34.78
20250521-123917,c_20250521-123917.jpg,p_20250521-123917.jpg,11.52,34.78
20250521-124327,c_20250521-124327.jpg,p_20250521-124327.jpg,9.86,10.72
20250521-124338,c_20250521-124338.jpg,p_20250521-124338.jpg,5.80,5.07
20250521-124348,c_20250521-124348.jpg,p_20250521-124348.jpg,12.17,9.13
20250521-124359,c_20250521-124359.jpg,p_20250521-124359.jpg,30.94,34.78
20250521-124410,c_20250521-124410.jpg,p_20250521-124410.jpg,23.19,21.52
20250521-124431,c_20250521-124431.jpg,p_20250521-124431.jpg,4.20,15.22
20250521-124442,c_20250521-124442.jpg,p_20250521-124442.jpg,14.86,15.58
20250521-124503,c_20250521-124503.jpg,p_20250521-124503.jpg,2.17,2.83
20250521-124524,c_20250521-124524.jpg,p_20250521-124524.jpg,15.58,15.80
20250521-124535,c_20250521-124535.jpg,p_20250521-124535.jpg,2.46,2.39
20250521-124643,c_20250521-124643.jpg,p_20250521-124643.jpg,11.45,5.65
20250521-124658,c_20250521-124658.jpg,p_20250521-124658.jpg,27.25,25.94
20250521-124708,c_20250521-124708.jpg,p_20250521-124708.jpg,44.49,27.25
20250521-124719,c_20250521-124719.jpg,p_20250521-124719.jpg,29.71,22.61
20250521-124731,c_20250521-124731.jpg,p_20250521-124731.jpg,10.65,16.01
20250521-124743,c_20250521-124743.jpg,p_20250521-124743.jpg,46.38,12.39
20250521-124753,c_20250521-124753.jpg,p_20250521-124753.jpg,46.38,28.55
20250521-124805,c_20250521-124805.jpg,p_20250521-124805.jpg,18.91,27.54
20250521-124914,c_20250521-124914.jpg,p_20250521-124914.jpg,3.62,1.88
20250521-124935,c_20250521-124935.jpg,p_20250521-124935.jpg,2.68,1.81
20250521-125357,c_20250521-125357.jpg,p_20250521-125357.jpg,4.49,9.42
20250521-125408,c_20250521-125408.jpg,p_20250521-125408.jpg,4.06,5.43
20250521-125421,c_20250521-125421.jpg,p_20250521-125421.jpg,3.91,9.35
20250521-125432,c_20250521-125432.jpg,p_20250521-125432.jpg,2.97,8.04
20250521-125443,c_20250521-125443.jpg,p_20250521-125443.jpg,2.61,7.03
20250521-125515,c_20250521-125515.jpg,p_20250521-125515.jpg,4.71,5.72
20250521-125530,c_20250521-125530.jpg,p_20250521-125530.jpg,3.19,6.67
20250521-125603,c_20250521-125603.jpg,p_20250521-125603.jpg,16.88,9.35
