Timestamp,Captured Image,Processed Image,Width (mm),Height (mm)
20250602_110720,c_20250602_110720.jpg,p_20250602_110720.jpg,5.65,9.06
20250602_110727,c_20250602_110727.jpg,p_20250602_110727.jpg,3.55,6.09
20250602_110731,c_20250602_110731.jpg,p_20250602_110731.jpg,4.13,6.16
20250602_110732,c_20250602_110732.jpg,p_20250602_110732.jpg,3.41,4.57
20250602_110843,c_20250602_110843.jpg,p_20250602_110843.jpg,27.32,29.71
20250602_110912,c_20250602_110912.jpg,p_20250602_110912.jpg,46.38,31.30
20250602_111051,c_20250602_111051.jpg,p_20250602_111051.jpg,46.38,32.39
20250602_111110,c_20250602_111110.jpg,p_20250602_111110.jpg,45.87,31.16
20250602_111112,c_20250602_111112.jpg,p_20250602_111112.jpg,38.04,31.45
20250602_111113,c_20250602_111113.jpg,p_20250602_111113.jpg,37.68,31.23
20250602_111114,c_20250602_111114.jpg,p_20250602_111114.jpg,45.87,31.01
20250602_111115,c_20250602_111115.jpg,p_20250602_111115.jpg,37.90,31.30
20250602_111115,c_20250602_111115.jpg,p_20250602_111115.jpg,46.38,32.46
20250602_111117,c_20250602_111117.jpg,p_20250602_111117.jpg,41.52,31.88
20250602_111309,c_20250602_111309.jpg,p_20250602_111309.jpg,41.71,30.93
20250602_111344,c_20250602_111344.jpg,p_20250602_111344.jpg,39.33,29.07
20250602_111410,c_20250602_111410.jpg,p_20250602_111410.jpg,39.06,27.19
20250602_111448,c_20250602_111448.jpg,p_20250602_111448.jpg,32.69,27.50
20250602_111753,c_20250602_111753.jpg,p_20250602_111753.jpg,34.19,27.31
20250602_111848,c_20250602_111848.jpg,p_20250602_111848.jpg,33.50,26.12
20250602_111914,c_20250602_111914.jpg,p_20250602_111914.jpg,34.00,26.52
20250602_111919,c_20250602_111919.jpg,p_20250602_111919.jpg,34.00,26.65
20250602_111921,c_20250602_111921.jpg,p_20250602_111921.jpg,33.81,26.65
20250602_111955,c_20250602_111955.jpg,p_20250602_111955.jpg,37.57,29.50
20250602_112610,c_20250602_112610.jpg,p_20250602_112610.jpg,24.64,20.93
20250602_112840,c_20250602_112840.jpg,p_20250602_112840.jpg,41.71,25.00
20250602_112922,c_20250602_112922.jpg,p_20250602_112922.jpg,38.06,21.94
20250602_112928,c_20250602_112928.jpg,p_20250602_112928.jpg,38.00,21.94
20250602_112950,c_20250602_112950.jpg,p_20250602_112950.jpg,50.58,29.25
20250602_112959,c_20250602_112959.jpg,p_20250602_112959.jpg,45.42,28.33
20250602_113001,c_20250602_113001.jpg,p_20250602_113001.jpg,50.58,29.25
