id,group_tag,print_tag,image_tag1,image_tag2,humidity,temperature,print_speed,layer_height,pressure,width,image_tag3,comments
129,Session_20250418-113313_SSE,20250418-114140_p49,c1_20250418-114140.jpg,c2_20250418-114140.jpg,19.4,100.0,15.0,0.0,0.0,0.0,12.9,
130,Session_20250418-113313_SSE,20250418-114151_p50,c1_20250418-114151.jpg,c2_20250418-114151.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
131,Session_20250418-113313_SSE,20250418-114201_p51,c1_20250418-114201.jpg,c2_20250418-114201.jpg,19.4,100.0,15.0,0.0,0.0,0.0,12.8,
132,Session_20250418-113313_SSE,20250418-114212_p52,c1_20250418-114212.jpg,c2_20250418-114212.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
133,Session_20250418-113313_SSE,20250418-114222_p53,c1_20250418-114222.jpg,c2_20250418-114222.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.9,
134,Session_20250418-113313_SSE,20250418-114233_p54,c1_20250418-114233.jpg,c2_20250418-114233.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
135,Session_20250418-113313_SSE,20250418-114243_p55,c1_20250418-114243.jpg,c2_20250418-114243.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
136,Session_20250418-113313_SSE,20250418-114253_p56,c1_20250418-114253.jpg,c2_20250418-114253.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
137,Session_20250418-113313_SSE,20250418-114303_p57,c1_20250418-114303.jpg,c2_20250418-114303.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
138,Session_20250418-113313_SSE,20250418-114314_p58,c1_20250418-114314.jpg,c2_20250418-114314.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
139,Session_20250418-113313_SSE,20250418-114324_p59,c1_20250418-114324.jpg,c2_20250418-114324.jpg,19.4,100.0,15.0,0.0,0.0,0.0,12.8,
140,Session_20250418-113313_SSE,20250418-114335_p60,c1_20250418-114335.jpg,c2_20250418-114335.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
141,Session_20250418-113313_SSE,20250418-114345_p61,c1_20250418-114345.jpg,c2_20250418-114345.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
142,Session_20250418-113313_SSE,20250418-114356_p62,c1_20250418-114356.jpg,c2_20250418-114356.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
143,Session_20250418-113313_SSE,20250418-114407_p63,c1_20250418-114407.jpg,c2_20250418-114407.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
144,Session_20250418-113313_SSE,20250418-114417_p64,c1_20250418-114417.jpg,c2_20250418-114417.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
145,Session_20250418-113313_SSE,20250418-114428_p65,c1_20250418-114428.jpg,c2_20250418-114428.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
146,Session_20250418-113313_SSE,20250418-114438_p66,c1_20250418-114438.jpg,c2_20250418-114438.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.9,
147,Session_20250418-113313_SSE,20250418-114449_p67,c1_20250418-114449.jpg,c2_20250418-114449.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.9,
148,Session_20250418-113313_SSE,20250418-114459_p68,c1_20250418-114459.jpg,c2_20250418-114459.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
149,Session_20250418-113313_SSE,20250418-114510_p69,c1_20250418-114510.jpg,c2_20250418-114510.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.9,
150,Session_20250418-113313_SSE,20250418-114520_p70,c1_20250418-114520.jpg,c2_20250418-114520.jpg,19.4,100.0,15.0,0.0,0.0,0.0,12.9,
151,Session_20250418-113313_SSE,20250418-114531_p71,c1_20250418-114531.jpg,c2_20250418-114531.jpg,19.4,100.0,15.0,0.0,0.0,0.0,12.9,
152,Session_20250418-113313_SSE,20250418-114541_p72,c1_20250418-114541.jpg,c2_20250418-114541.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
153,Session_20250418-113313_SSE,20250418-114552_p73,c1_20250418-114552.jpg,c2_20250418-114552.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.9,
154,Session_20250418-113313_SSE,20250418-114602_p74,c1_20250418-114602.jpg,c2_20250418-114602.jpg,19.4,100.0,15.0,0.0,0.0,0.0,12.9,
155,Session_20250418-113313_SSE,20250418-114613_p75,c1_20250418-114613.jpg,c2_20250418-114613.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.9,
156,Session_20250418-113313_SSE,20250418-114624_p76,c1_20250418-114624.jpg,c2_20250418-114624.jpg,19.4,100.0,15.0,0.0,0.0,0.0,12.9,
157,Session_20250418-113313_SSE,20250418-114634_p77,c1_20250418-114634.jpg,c2_20250418-114634.jpg,19.4,100.0,15.0,0.0,0.0,0.0,12.8,
158,Session_20250418-113313_SSE,20250418-114645_p78,c1_20250418-114645.jpg,c2_20250418-114645.jpg,19.4,100.0,15.0,0.0,0.0,0.0,12.8,
159,Session_20250418-113313_SSE,20250418-114655_p79,c1_20250418-114655.jpg,c2_20250418-114655.jpg,19.4,100.0,15.0,0.0,0.0,0.0,12.9,
